network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-cadence-soft-finality-test,0,287,330,388,331,4420,,,4448,4499,332,7568
testnet,default,transfer-cadence-test,0,254,255,272,256,4339,,,4373,7495,257,8548
testnet,ALCHEMY_URL,transfer-test,0,353,351,381,,,351,3547,3566,3582,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,313,351,372,,,354,6749,6780,6800,,
testnet,QUICKNODE_URL,transfer-test,0,221,250,259,,,251,6523,6525,6532,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,237,250,262,,,253,6526,6527,6536,,
