network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1386,1428,1462,,,1428,4689,4694,4727,,
testnet,default,transfer-erc20-test,0,608,612,649,,,614,3904,3935,3972,,
testnet,default,transfer-cadence-soft-finality-test,0,524,546,603,546,4911,,,4934,4989,548,8074
testnet,default,transfer-cadence-test,0,334,345,422,345,4629,,,4634,7441,346,7811
mainnet,default,transfer-test,0,1068,1071,1096,,,1071,7504,7553,7577,,
mainnet,default,transfer-cadence-soft-finality-test,0,381,392,478,392,5339,,,5345,5410,394,7530
testnet,ALCHEMY_URL,transfer-test,0,552,562,634,,,562,4024,4031,4102,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,431,459,506,,,461,3833,3884,3925,,
mainnet,ALCHEMY_URL,transfer-test,0,545,562,627,,,562,7222,7246,7294,,
testnet,QUICKNODE_URL,transfer-test,0,519,560,580,,,561,3726,3776,3796,,
testnet,QUICKNODE_URL,transfer-erc20-test,1,424,459,483,,,462,3626,3677,3698,,
mainnet,QUICKNODE_URL,transfer-test,0,1222,1224,1249,,,1224,7657,7704,7728,,
