network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,965,1004,1038,,,,,,,,,1005,7522,7538,7573,,,,
testnet,default,transfer-erc20-test,,,1,332,352,393,,,,,,,,,355,6897,6904,6941,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,473,505,542,,,,,,,506,6831,,,6832,6871,,,507,8933
testnet,default,transfer-cadence-test,,,0,419,428,507,,,,,,,429,5673,,,5707,8689,,,430,8821
mainnet,default,transfer-test,,,0,877,902,912,,,,,,,,,902,7182,7200,7209,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,464,497,549,,,,,,,497,6219,,,6222,6284,,,499,11506
testnet,ALCHEMY_URL,transfer-test,,,0,775,809,859,,,,,,,,,810,7293,7323,7370,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,910,956,994,,,,,,,,,959,7497,7517,7553,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,3906,3918,3952,,,,,,,,,3918,10376,10392,10426,,,,
testnet,QUICKNODE_URL,transfer-test,,,1,329,352,361,,,,,,,,,353,6632,6681,6689,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,439,454,466,,,,,,,,,457,6732,6756,6767,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,282,302,312,,,,,,,,,303,12992,13025,13034,,,,
mainnet,default,headless-kittypunch-swap-1,0,21043,,,,,21071,29734,,,29774,48269,,,,,,,48275,54797,,
mainnet,default,headless-kittypunch-swap-2,0,1891,,,,,,,1931,8421,8459,26663,,,,,,,26704,33034,,
