network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,797,815,924,,,,,,,816,7754,7804,7864,,,,
testnet,default,transfer-erc20-test,,,0,1079,1121,1186,,,,,,,1124,4613,4648,4711,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,699,736,801,,,,,737,5102,,,5128,5192,,,738,5102
testnet,default,transfer-cadence-test,,,0,508,526,668,,,,,527,6005,,,6035,6099,,,528,6005
mainnet,default,transfer-test,,,0,886,917,989,,,,,,,918,7627,7651,7723,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,578,598,771,,,,,599,5508,,,5549,5680,,,600,11413
mainnet,ALCHEMY_URL,transfer-test,,,0,907,918,1037,,,,,,,919,4646,4657,4758,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,775,815,885,,,,,,,816,4426,4438,4505,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,699,714,791,,,,,,,717,7615,7653,7726,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,706,714,786,,,,,,,715,7419,7452,7524,,,,
mainnet,default,headless-kittypunch-swap-1,0,21381,,,,,21407,30021,30040,48502,,,,,,,48523,55389,,
