network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,596,613,621,,,,,,,613,3687,3725,3734,,,,
testnet,default,transfer-erc20-test,,,0,244,254,266,,,,,,,257,3330,3371,3381,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,531,538,579,,,,,539,3716,,,3753,3795,,,540,6855
testnet,default,transfer-cadence-test,,,0,259,263,284,,,,,263,3409,,,3429,6910,,,265,7581
mainnet,default,transfer-test,,,0,641,664,674,,,,,,,665,6952,6995,7004,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,422,468,523,,,,,469,6039,,,6082,6135,,,471,10237
testnet,ALCHEMY_URL,transfer-test,,,0,486,511,550,,,,,,,511,3957,3991,4041,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,421,457,532,,,,,,,460,3825,3832,3888,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,504,511,560,,,,,,,512,7045,7047,7078,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,291,308,317,,,,,,,309,3381,3386,3394,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,279,307,330,,,,,,,311,3401,3432,3442,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,644,664,674,,,,,,,665,6951,6990,6999,,,,
mainnet,default,headless-kittypunch-swap-3,0,17997,,,,,18030,20797,20845,36563,,,,,,,36563,40891,,
