network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,840,857,919,,,,,,,857,7663,7710,7770,,,,
testnet,default,transfer-erc20-test,,,0,917,959,1071,,,,,,,962,7858,7905,7968,,,,
testnet,default,transfer-cadence-soft-finality-test,,,1,481,517,582,,,,,518,5940,,,5944,6010,,,520,10209
testnet,default,transfer-cadence-test,,,0,432,462,573,,,,,462,7059,,,7088,8301,,,464,9234
mainnet,default,transfer-test,,,0,1062,1104,1176,,,,,,,1105,7803,7806,7877,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,742,775,941,,,,,776,9971,,,9976,10096,,,777,12190
testnet,ALCHEMY_URL,transfer-test,,,0,1281,1308,1419,,,,,,,1308,8334,8363,8454,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,870,910,1017,,,,,,,913,7866,7909,8019,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1388,1415,1516,,,,,,,1415,5645,5695,5791,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,726,755,822,,,,,,,756,7627,7644,7715,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,767,802,874,,,,,,,805,7660,7711,7780,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,706,704,776,,,,,,,705,4191,4236,4307,,,,
mainnet,default,headless-kittypunch-swap-1,0,20709,,,,,20741,29551,29579,47984,,,,,,,48016,54996,,
