network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,576,603,637,,,,,,,,,604,7161,7180,7214,,,,
testnet,default,transfer-erc20-test,,,0,598,607,665,,,,,,,,,610,7236,7244,7300,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,515,560,616,,,,,,,561,5887,,,5929,5987,,,562,9050
testnet,default,transfer-cadence-test,,,0,497,543,624,,,,,,,544,8980,,,9019,9808,,,545,10021
mainnet,default,transfer-test,,,0,920,956,996,,,,,,,,,957,7540,7542,7581,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,721,761,850,,,,,,,762,7539,,,7544,7632,,,763,11839
testnet,ALCHEMY_URL,transfer-test,,,0,716,755,833,,,,,,,,,756,7658,7706,7780,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,653,653,744,,,,,,,,,655,7592,7608,7682,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,784,809,901,,,,,,,,,810,4432,4435,4529,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,669,706,736,,,,,,,,,707,7186,7206,7235,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,1,532,552,585,,,,,,,,,554,7018,7048,7079,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,999,1009,1054,,,,,,,,,1010,7651,7669,7714,,,,
mainnet,default,headless-kittypunch-swap-1,0,21189,,,,,21200,29855,,,29901,48244,,,,,,,48279,55241,,
mainnet,default,headless-kittypunch-swap-2,0,2002,,,,,,,2031,8588,8628,27287,,,,,,,27320,30672,,
