network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,726,755,792,,,,,,,,,755,7241,7257,7292,,,,
testnet,default,transfer-erc20-test,,,0,758,804,842,,,,,,,,,807,7293,7311,7346,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,485,489,549,,,,,,,490,5774,,,5774,5839,,,491,8917
testnet,default,transfer-cadence-test,,,0,358,407,447,,,,,,,408,7809,,,7809,9877,,,410,9888
mainnet,default,transfer-test,,,0,878,910,920,,,,,,,,,911,7189,7217,7226,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,518,566,629,,,,,,,568,12006,,,12017,12096,,,569,17247
testnet,ALCHEMY_URL,transfer-test,,,0,803,805,845,,,,,,,,,806,7292,7309,7341,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,720,755,790,,,,,,,,,758,7274,7298,7336,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,845,854,910,,,,,,,,,855,7536,7545,7574,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,420,453,462,,,,,,,,,454,6726,6734,6743,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,263,303,315,,,,,,,,,305,6577,6585,6604,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,514,552,562,,,,,,,,,553,6829,6830,6839,,,,
mainnet,default,headless-kittypunch-swap-1,0,20737,,,,,20752,29014,,,29048,47411,,,,,,,47412,53812,,
mainnet,default,headless-kittypunch-swap-2,0,2099,,,,,,,2132,8480,8530,27142,,,,,,,27172,33716,,
