network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,774,807,839,,,,,,,,,808,7337,7342,7372,,,,
testnet,default,transfer-erc20-test,,,0,498,504,539,,,,,,,,,507,6953,6995,7026,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,435,450,483,,,,,,,450,6750,,,6756,6788,,,452,8847
testnet,default,transfer-cadence-test,,,0,400,412,470,,,,,,,413,5678,,,5689,9434,,,414,9814
mainnet,default,transfer-test,,,0,1115,1157,1163,,,,,,,,,1157,7400,7429,7435,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,565,565,613,,,,,,,566,10654,,,10657,10720,,,567,11674
testnet,ALCHEMY_URL,transfer-test,,,0,816,852,879,,,,,,,,,853,7295,7328,7348,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,842,852,879,,,,,,,,,855,7279,7327,7363,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,790,802,828,,,,,,,,,802,7195,7223,7247,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,352,351,356,,,,,,,,,352,6590,6623,6631,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,288,301,311,,,,,,,,,303,6546,6569,6576,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,666,702,708,,,,,,,,,703,6944,6974,6980,,,,
mainnet,default,headless-kittypunch-swap-1,0,21093,,,,,21134,29357,,,29395,48046,,,,,,,48052,55011,,
mainnet,default,headless-kittypunch-swap-2,0,1885,,,,,,,1924,8126,8175,26698,,,,,,,26730,33159,,
