network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,623,657,691,,,,,,,,,658,7231,7262,7295,,,,
testnet,default,transfer-erc20-test,,,0,574,606,648,,,,,,,,,609,7085,7107,7142,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,481,519,554,,,,,,,520,5792,,,5800,5838,,,522,9966
testnet,default,transfer-cadence-test,,,0,501,539,624,,,,,,,540,5766,,,5774,8929,,,542,9908
mainnet,default,transfer-test,,,0,472,503,510,,,,,,,,,503,6758,6768,7455,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,486,517,566,,,,,,,518,4996,,,5039,5086,,,520,11294
testnet,ALCHEMY_URL,transfer-test,,,0,386,403,440,,,,,,,,,403,6899,6900,6923,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,405,451,491,,,,,,,,,454,6885,6911,6959,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,489,503,526,,,,,,,,,504,6979,7007,7034,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,362,403,409,,,,,,,,,403,6641,6644,6650,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,337,351,361,,,,,,,,,354,6601,6645,6651,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,383,404,410,,,,,,,,,405,13055,13105,13110,,,,
mainnet,default,headless-kittypunch-swap-1,0,21079,,,,,21096,29316,,,29346,48001,,,,,,,48004,54370,,
mainnet,default,headless-kittypunch-swap-2,0,1936,,,,,,,1940,8246,8283,26956,,,,,,,26999,33389,,
