network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,999,1004,1040,,,,,,,,,1005,7520,7555,7591,,,,
testnet,default,transfer-erc20-test,,,0,747,755,795,,,,,,,,,758,7273,7309,7345,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,510,548,602,,,,,,,548,6902,,,6929,6968,,,550,10068
testnet,default,transfer-cadence-test,,,0,510,554,610,,,,,,,553,6931,,,6935,8830,,,555,10058
mainnet,default,transfer-test,,,0,1374,1408,1454,,,,,,,,,1409,8051,8087,8131,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,877,907,1014,,,,,,,907,6923,,,6932,7014,,,909,11305
testnet,ALCHEMY_URL,transfer-test,,,0,939,954,1034,,,,,,,,,954,7808,7840,7908,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,606,653,731,,,,,,,,,655,7451,7501,7573,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,896,905,978,,,,,,,,,905,8469,8519,8587,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,500,505,535,,,,,,,,,506,6967,6999,7028,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,399,405,439,,,,,,,,,408,6896,6914,6948,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,989,1005,1051,,,,,,,,,1006,7662,7710,7757,,,,
mainnet,default,headless-kittypunch-swap-1,0,21264,,,,,21298,29555,,,29583,47834,,,,,,,47884,61250,,
mainnet,default,headless-kittypunch-swap-2,0,2116,,,,,,,2132,8452,8479,26882,,,,,,,26907,33945,,
