network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1030,1055,1164,,,,,,,1056,7898,7948,8022,,,,
testnet,default,transfer-erc20-test,,,0,558,605,670,,,,,,,608,7445,7446,7509,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,693,723,834,,,,,724,6192,,,6204,6316,,,725,9495
testnet,default,transfer-cadence-test,,,0,480,520,631,,,,,521,6961,,,7001,9356,,,523,10159
mainnet,default,transfer-test,,,0,817,851,924,,,,,,,852,7559,7582,7653,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,512,523,636,,,,,524,7917,,,7949,8063,,,525,10218
testnet,ALCHEMY_URL,transfer-test,,,0,1021,1054,1170,,,,,,,1054,8089,8139,8239,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,949,953,1055,,,,,,,956,7959,8001,8100,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1509,1515,1721,,,,,,,1516,5966,6004,6111,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,751,761,833,,,,,,,762,7622,7660,7737,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,731,757,833,,,,,,,760,7661,7670,7742,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,785,806,878,,,,,,,806,7508,7511,7583,,,,
mainnet,default,headless-kittypunch-swap-1,0,21334,,,,,21371,29995,30009,48356,,,,,,,48363,61878,,
