network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,819,816,891,,,,,,,817,7756,7805,7879,,,,
testnet,default,transfer-erc20-test,,,0,856,866,944,,,,,,,868,7806,7807,7883,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,862,895,1005,,,,,895,5411,,,5435,5540,,,897,8745
testnet,default,transfer-cadence-test,,,0,742,767,875,,,,,768,5277,,,5309,9020,,,770,9723
mainnet,default,transfer-test,,,0,785,816,888,,,,,,,817,7532,7551,7622,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,840,865,990,,,,,865,5839,,,5865,5993,,,867,9267
testnet,ALCHEMY_URL,transfer-test,,,0,1121,1121,1254,,,,,,,1122,4985,4999,5124,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1063,1072,1219,,,,,,,1075,8250,8269,8381,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,877,918,1031,,,,,,,919,4757,4798,4906,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,862,869,940,,,,,,,870,4507,4544,4615,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,1,757,769,847,,,,,,,772,4435,4448,4526,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,759,765,836,,,,,,,766,7486,7507,7578,,,,
mainnet,default,headless-kittypunch-swap-1,0,22062,,,,,22075,24438,24445,43064,,,,,,,43108,50028,,
