network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,684,706,742,,,706,7219,7242,7275,,
testnet,default,transfer-erc20-test,0,728,753,821,,,755,7311,7345,7381,,
testnet,default,transfer-cadence-soft-finality-test,0,456,458,599,458,7180,,,7191,7231,460,9517
testnet,default,transfer-cadence-test,0,606,638,702,638,8033,,,8067,9891,640,10158
mainnet,default,transfer-test,0,775,803,812,,,803,3874,3876,3886,,
mainnet,default,transfer-cadence-soft-finality-test,0,547,593,644,593,6471,,,6514,6582,595,10696
testnet,ALCHEMY_URL,transfer-test,0,773,806,843,,,807,7322,7360,7390,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,587,604,657,,,607,7073,7116,7148,,
mainnet,ALCHEMY_URL,transfer-test,0,1061,1101,1203,,,1102,8765,8813,8958,,
testnet,QUICKNODE_URL,transfer-test,0,548,554,563,,,555,6825,6841,6849,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,255,301,314,,,304,6572,6621,6630,,
mainnet,QUICKNODE_URL,transfer-test,0,357,402,412,,,403,6681,6687,6696,,
