network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,548,561,587,,,561,7025,7044,7072,,
testnet,default,transfer-erc20-test,0,401,408,441,,,410,6880,6897,6924,,
testnet,default,transfer-cadence-soft-finality-test,0,563,601,662,601,5934,,,5959,6020,603,9117
testnet,default,transfer-cadence-test,0,341,382,440,383,5686,,,5694,9719,384,9933
mainnet,default,transfer-test,0,698,716,753,,,717,7300,7302,7338,,
mainnet,default,transfer-cadence-soft-finality-test,0,724,751,1526,752,9468,,,9474,9559,753,11596
testnet,ALCHEMY_URL,transfer-test,0,570,612,662,,,613,7255,7301,7350,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,430,463,504,,,466,7040,7050,7089,,
mainnet,ALCHEMY_URL,transfer-test,0,469,511,556,,,512,7093,7095,7130,,
testnet,QUICKNODE_URL,transfer-test,1,312,359,385,,,360,6821,6844,6869,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,327,357,395,,,360,6830,6847,6874,,
mainnet,QUICKNODE_URL,transfer-test,0,415,458,495,,,459,7038,7042,7078,,
