network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,802,808,883,,,809,7702,7714,7789,,
testnet,default,transfer-erc20-test,0,730,756,829,,,759,7647,7661,7734,,
testnet,default,transfer-cadence-soft-finality-test,0,759,762,862,762,5284,,,5295,5399,763,9696
testnet,default,transfer-cadence-test,0,547,594,677,595,5049,,,5083,9000,597,9467
mainnet,default,transfer-test,0,866,908,985,,,909,7854,7861,7937,,
mainnet,default,transfer-cadence-soft-finality-test,0,1499,1508,1625,1508,5234,,,5281,5398,1509,10801
testnet,ALCHEMY_URL,transfer-test,0,962,959,1071,,,960,8082,8084,8174,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,933,962,1062,,,965,8096,8132,8251,,
mainnet,ALCHEMY_URL,transfer-test,0,752,758,866,,,758,7759,7767,7856,,
testnet,QUICKNODE_URL,transfer-test,0,603,605,688,,,606,7483,7517,7588,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,543,555,623,,,558,7437,7481,7546,,
mainnet,QUICKNODE_URL,transfer-test,1,678,711,788,,,712,4395,4435,4512,,
