network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed)
mainnet,default,headless-kittypunch-swap-1,0,21044,21055,29624,,,29662,48343,48348,55802
mainnet,default,headless-kittypunch-swap-2,0,1883,,,1928,8907,8919,27237,27273,34610
