network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,852,864,928,,,,,,,,,865,7743,7790,7854,,,,
testnet,default,transfer-erc20-test,,,0,730,760,838,,,,,,,,,763,7653,7654,7730,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,796,833,942,,,,,,,833,5333,,,5373,5481,,,834,10902
testnet,default,transfer-cadence-test,,,0,577,620,716,,,,,,,621,6242,,,6287,9675,,,622,10691
mainnet,default,transfer-test,,,0,951,970,1053,,,,,,,,,971,7733,7761,7843,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,716,732,849,,,,,,,733,5935,,,5967,6096,,,734,9282
testnet,ALCHEMY_URL,transfer-test,,,0,916,915,1027,,,,,,,,,916,7968,8005,8111,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,927,956,1064,,,,,,,,,959,7959,7992,8107,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,946,964,1062,,,,,,,,,966,14420,14431,14522,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,662,662,727,,,,,,,,,663,7551,7553,7617,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,686,714,794,,,,,,,,,717,7612,7656,7725,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,699,714,796,,,,,,,,,715,7476,7500,7579,,,,
mainnet,default,headless-kittypunch-swap-1,0,21414,,,,,21435,24074,,,24106,42734,,,,,,,42763,49630,,
mainnet,default,headless-kittypunch-swap-2,0,2986,,,,,,,2991,6550,6599,25212,,,,,,,25238,32114,,
mainnet,default,headless-kittypunch-swap-3,0,17689,,,,,17698,76360,,,76374,92163,,,,,,,92191,100548,,
mainnet,default,headless-kittypunch-swap-4,0,2070,,,,,,,2098,5499,5531,21408,,,,,,,21422,29804,,
