network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1192,1209,1281,,,,,,,,,1209,8121,8170,8241,,,,
testnet,default,transfer-erc20-test,,,0,947,960,1038,,,,,,,,,963,7899,7921,7997,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,808,833,940,,,,,,,833,7520,,,7520,7633,,,835,9746
testnet,default,transfer-cadence-test,,,0,688,727,825,,,,,,,727,6351,,,6362,9635,,,729,9687
mainnet,default,transfer-test,,,1,1214,1215,1291,,,,,,,,,1216,7928,7941,8012,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,664,696,815,,,,,,,697,9540,,,9556,9670,,,699,14066
testnet,ALCHEMY_URL,transfer-test,,,0,1196,1211,1356,,,,,,,,,1212,8566,8581,8720,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1072,1110,1244,,,,,,,,,1113,8215,8234,8338,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1008,1010,1112,,,,,,,,,1011,4814,4851,5125,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,848,857,932,,,,,,,,,858,7790,7814,7889,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,972,1011,1090,,,,,,,,,1014,7947,7971,8047,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,728,756,831,,,,,,,,,757,7481,7517,7588,,,,
mainnet,default,headless-kittypunch-swap-1,0,20935,,,,,20947,23285,,,23336,41580,,,,,,,41591,48512,,
mainnet,default,headless-kittypunch-swap-2,0,2700,,,,,,,2747,6248,6290,24446,,,,,,,24485,31383,,
mainnet,default,headless-kittypunch-swap-3,0,17785,,,,,17792,24311,,,24325,40095,,,,,,,40133,48477,,
mainnet,default,headless-kittypunch-swap-4,0,2170,,,,,,,2220,5829,5865,21668,,,,,,,21707,30044,,
