network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,570,613,634,,,614,7001,7044,7062,,
testnet,default,transfer-erc20-test,0,265,307,330,,,310,6699,6746,6766,,
testnet,default,transfer-cadence-soft-finality-test,0,559,607,1358,608,5834,,,5863,5916,609,10053
testnet,default,transfer-cadence-test,1,316,361,393,362,4561,,,4562,7521,364,7730
mainnet,default,transfer-test,0,667,714,738,,,715,7152,7197,7235,,
mainnet,default,transfer-cadence-soft-finality-test,0,555,590,655,591,4329,,,4371,4441,592,9800
testnet,ALCHEMY_URL,transfer-test,0,617,663,706,,,664,7214,7247,7288,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,326,357,386,,,360,6835,6841,6881,,
mainnet,ALCHEMY_URL,transfer-test,0,405,412,448,,,412,6874,6894,6919,,
testnet,QUICKNODE_URL,transfer-test,1,377,408,429,,,408,6793,6840,6858,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,255,255,281,,,257,6637,6639,6659,,
mainnet,QUICKNODE_URL,transfer-test,0,322,357,381,,,358,6791,6836,6860,,
