network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,695,707,738,,,,,,,,,707,7168,7173,7203,,,,
testnet,default,transfer-erc20-test,,,0,554,553,590,,,,,,,,,556,7065,7071,7104,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,462,473,507,,,,,,,474,6743,,,6766,6801,,,475,8812
testnet,default,transfer-cadence-test,,,0,475,513,595,,,,,,,513,5738,,,5739,8451,,,515,8846
mainnet,default,transfer-test,,,0,258,301,308,,,,,,,,,301,6551,6598,6604,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,497,535,599,,,,,,,536,7141,,,7171,7217,,,537,9276
testnet,ALCHEMY_URL,transfer-test,,,0,505,552,604,,,,,,,,,553,7124,7154,7196,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,467,504,553,,,,,,,,,507,7069,7100,7139,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,442,452,488,,,,,,,,,452,6967,6988,7016,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,722,755,762,,,,,,,,,756,6993,6996,7001,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,301,300,309,,,,,,,,,303,6545,6578,6585,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,574,601,608,,,,,,,,,602,6844,6884,6889,,,,
mainnet,default,headless-kittypunch-swap-1,0,21198,,,,,21214,29449,,,29454,47959,,,,,,,47975,54321,,
mainnet,default,headless-kittypunch-swap-2,0,2404,,,,,,,2443,8497,8534,26889,,,,,,,26935,33218,,
mainnet,default,headless-kittypunch-swap-3,0,18014,,,,,18051,26212,,,26250,41978,,,,,,,42029,49362,,
mainnet,default,headless-kittypunch-swap-4,0,1611,,,,,,,1657,7405,7434,23084,,,,,,,23101,30431,,
