network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1001,1020,1080,,,,,,,1021,7815,7859,7965,,,,
testnet,default,transfer-erc20-test,,,0,860,867,931,,,,,,,869,4310,4340,4401,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,598,638,751,,,,,638,8230,,,8239,8303,,,640,11430
testnet,default,transfer-cadence-test,,,0,443,484,550,,,,,485,5956,,,5994,8220,,,486,9201
mainnet,default,transfer-test,,,0,969,969,1040,,,,,,,970,7680,7704,7775,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,592,624,753,,,,,624,8251,,,8279,8445,,,626,10516
testnet,ALCHEMY_URL,transfer-test,,,0,1121,1122,1227,,,,,,,1123,8243,8274,8365,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,909,918,1005,,,,,,,921,7902,7909,8002,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,991,1020,1116,,,,,,,1021,8023,8064,8148,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,842,867,935,,,,,,,868,7742,7758,7825,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,1357,1377,1448,,,,,,,1379,8270,8270,8347,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,744,765,837,,,,,,,766,7466,7502,7573,,,,
mainnet,default,headless-kittypunch-swap-1,0,20774,,,,,20784,29386,29410,47593,,,,,,,47642,54591,,
