network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,912,917,979,,,,,,,918,7809,7855,7918,,,,
testnet,default,transfer-erc20-test,,,0,886,918,984,,,,,,,921,7628,7658,7720,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,652,687,799,,,,,687,6212,,,6247,6313,,,689,9410
testnet,default,transfer-cadence-test,,,0,338,372,436,,,,,373,6807,,,6807,9139,,,374,10005
mainnet,default,transfer-test,,,0,960,968,1039,,,,,,,968,7686,7702,7773,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,761,793,906,,,,,793,9873,,,9876,9991,,,795,9873
testnet,ALCHEMY_URL,transfer-test,,,0,1163,1173,1276,,,,,,,1174,5137,5152,5259,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1110,1122,1218,,,,,,,1124,8152,8163,8265,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,789,815,902,,,,,,,816,7832,7854,7943,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,845,853,928,,,,,,,854,7715,7729,7801,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,794,814,890,,,,,,,817,7681,7727,7800,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,669,714,785,,,,,,,715,7414,7452,7523,,,,
mainnet,default,headless-kittypunch-swap-1,0,21444,,,,,21480,30412,30416,48966,,,,,,,48981,55877,,
