network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,745,757,788,,,,,,,758,7240,7260,7290,,,,
testnet,default,transfer-erc20-test,,,0,701,707,741,,,,,,,709,7206,7217,7249,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,479,500,535,,,,,501,6756,,,6794,6827,,,502,9898
testnet,default,transfer-cadence-test,,,0,429,443,502,,,,,442,4702,,,4720,8104,,,444,8872
mainnet,default,transfer-test,,,0,552,551,558,,,,,,,552,6801,6842,6847,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,473,476,523,,,,,476,5505,,,5545,5593,,,478,9640
testnet,ALCHEMY_URL,transfer-test,,,0,485,509,548,,,,,,,509,7037,7051,7086,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,1,385,403,442,,,,,,,406,6892,6942,6978,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,443,455,493,,,,,,,455,13818,13867,13903,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,346,351,356,,,,,,,351,12993,12994,12998,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,324,353,364,,,,,,,356,6594,6631,6638,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,321,352,358,,,,,,,353,13000,13032,13037,,,,
mainnet,default,headless-kittypunch-swap-2,0,2105,,,,,2137,8167,8170,26405,,,,,,,26414,32736,,
