network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,845,855,910,,,856,4248,4254,4325,,
testnet,default,transfer-erc20-test,0,743,767,825,,,770,4172,4191,4243,,
testnet,default,transfer-cadence-soft-finality-test,0,584,599,675,599,4986,,,4987,5066,601,7150
testnet,default,transfer-cadence-test,0,404,426,511,426,3749,,,3749,6861,428,6974
mainnet,default,transfer-test,0,1110,1121,1145,,,1122,7551,7554,7577,,
mainnet,default,transfer-cadence-soft-finality-test,0,693,698,767,697,6350,,,6364,6448,699,10578
testnet,ALCHEMY_URL,transfer-test,0,607,612,687,,,612,4123,4133,4191,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,553,561,646,,,563,4085,4087,4162,,
mainnet,ALCHEMY_URL,transfer-test,0,6065,6073,6127,,,6073,12783,12806,12877,,
testnet,QUICKNODE_URL,transfer-test,0,656,663,682,,,663,3857,3879,3897,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,498,513,536,,,515,3682,3687,3707,,
mainnet,QUICKNODE_URL,transfer-test,0,739,766,791,,,766,7198,7207,7230,,
