network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,943,958,1020,,,,,,,,,959,7799,7804,7865,,,,
testnet,default,transfer-erc20-test,,,0,890,904,969,,,,,,,,,907,7613,7638,7701,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,598,637,700,,,,,,,637,6150,,,6154,6217,,,639,9397
testnet,default,transfer-cadence-test,,,0,495,526,591,,,,,,,527,5997,,,6000,8552,,,528,9196
mainnet,default,transfer-test,,,0,882,907,980,,,,,,,,,908,7615,7642,7714,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,634,677,849,,,,,,,678,7526,,,7568,7759,,,679,11009
testnet,ALCHEMY_URL,transfer-test,,,0,1121,1159,1263,,,,,,,,,1160,8171,8198,8300,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1074,1110,1212,,,,,,,,,1113,8085,8113,8213,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,3734,3769,3862,,,,,,,,,3770,10763,10797,10894,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,768,802,874,,,,,,,,,803,7711,7734,7806,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,863,903,978,,,,,,,,,905,7799,7831,7903,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,751,757,833,,,,,,,,,758,7462,7507,7579,,,,
mainnet,default,headless-kittypunch-swap-1,0,21140,,,,,21181,29849,,,29865,48153,,,,,,,48164,54755,,
mainnet,default,headless-kittypunch-swap-2,0,2260,,,,,,,2276,8760,8767,27097,,,,,,,27124,34023,,
