network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1036,1053,1115,,,,,,,1054,7853,7897,7959,,,,
testnet,default,transfer-erc20-test,,,0,980,1009,1124,,,,,,,1012,7955,7991,8056,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,580,615,680,,,,,616,7106,,,7136,7201,,,617,10304
testnet,default,transfer-cadence-test,,,0,478,512,654,,,,,513,6167,,,6190,8841,,,515,9462
mainnet,default,transfer-test,,,0,1083,1107,1179,,,,,,,1108,7814,7861,8068,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,630,664,863,,,,,665,9300,,,9307,9427,,,666,11521
testnet,ALCHEMY_URL,transfer-test,,,0,1000,1010,1118,,,,,,,1011,8051,8063,8165,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,973,1006,1108,,,,,,,1008,8017,8062,8163,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,4038,4075,4161,,,,,,,4075,11186,11220,11369,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,812,861,928,,,,,,,861,7737,7756,7828,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,695,706,777,,,,,,,709,7588,7603,7671,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,877,905,977,,,,,,,905,7606,7647,7718,,,,
mainnet,default,headless-kittypunch-swap-1,0,21110,,,,,21134,30085,30135,48682,,,,,,,48708,55540,,
