network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,665,708,739,,,,,,,709,7165,7187,7218,,,,
testnet,default,transfer-erc20-test,,,0,516,560,595,,,,,,,564,7021,7042,7074,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,255,303,338,,,,,304,7635,,,7652,7686,,,305,10766
testnet,default,transfer-cadence-test,,,0,241,253,312,,,,,253,6532,,,6532,8022,,,254,8605
mainnet,default,transfer-test,,,0,386,407,414,,,,,,,408,6657,6686,6692,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,250,254,300,,,,,255,5653,,,5667,5726,,,256,10865
testnet,ALCHEMY_URL,transfer-test,,,0,792,816,875,,,,,,,816,7328,7349,7374,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,758,764,806,,,,,,,767,7292,7298,7330,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,675,713,743,,,,,,,714,4446,4493,4519,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,346,360,366,,,,,,,360,6602,6634,6639,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,318,356,367,,,,,,,359,6601,6634,6641,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,410,410,417,,,,,,,410,6660,6697,7157,,,,
mainnet,default,headless-kittypunch-swap-1,0,20740,,,,,20759,29130,29176,47637,,,,,,,47657,54064,,
