network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,785,819,875,,,,,,,818,7284,7296,7330,,,,
testnet,default,transfer-erc20-test,,,0,531,561,596,,,,,,,564,7020,7044,7077,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,433,472,506,,,,,473,5668,,,5681,5737,,,475,8774
testnet,default,transfer-cadence-test,,,0,422,433,486,,,,,433,6730,,,6766,8912,,,435,9840
mainnet,default,transfer-test,,,0,608,612,616,,,,,,,612,13256,13267,13272,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,332,335,382,,,,,335,4313,,,4318,4369,,,336,8835
testnet,ALCHEMY_URL,transfer-test,,,1,465,510,561,,,,,,,510,7049,7093,7136,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,423,459,498,,,,,,,461,6971,6994,7031,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,501,510,549,,,,,,,510,7083,7095,7141,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,368,409,415,,,,,,,409,6648,6687,6692,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,195,208,218,,,,,,,210,6450,6496,6502,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,316,357,363,,,,,,,357,6599,6631,6637,,,,
mainnet,default,headless-kittypunch-swap-1,0,20772,,,,,20795,29180,29218,48132,,,,,,,48174,54506,,
