network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,728,757,812,,,,,,,758,7437,7464,7515,,,,
testnet,default,transfer-erc20-test,,,0,861,906,989,,,,,,,909,7554,7561,7612,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,592,610,665,,,,,611,6041,,,6070,6152,,,612,9269
testnet,default,transfer-cadence-test,,,0,424,438,529,,,,,439,4831,,,4873,7794,,,441,8049
mainnet,default,transfer-test,,,0,722,758,785,,,,,,,759,7216,7262,7289,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,408,439,508,,,,,439,6687,,,6719,6788,,,441,8998
testnet,ALCHEMY_URL,transfer-test,,,0,626,653,738,,,,,,,654,7444,7488,7548,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,531,555,618,,,,,,,558,7210,7254,7328,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,607,655,700,,,,,,,655,7470,7484,7559,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,565,603,624,,,,,,,604,6983,7000,7019,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,444,455,478,,,,,,,458,6835,6881,6902,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,843,856,881,,,,,,,857,7299,7338,7362,,,,
mainnet,default,headless-kittypunch-swap-1,0,20773,,,,,20804,29176,29196,48429,,,,,,,48471,55351,,
