network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,701,703,740,,,,,,,704,3991,4029,4081,,,,
testnet,default,transfer-erc20-test,,,0,538,552,590,,,,,,,555,3815,3823,3859,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,471,506,545,,,,,507,5770,,,5783,5819,,,509,7874
testnet,default,transfer-cadence-test,,,0,308,342,396,,,,,343,4545,,,4563,7026,,,345,7660
mainnet,default,transfer-test,,,0,394,402,412,,,,,,,403,6679,6685,6693,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,473,503,555,,,,,504,10417,,,10436,10487,,,506,13594
testnet,ALCHEMY_URL,transfer-test,,,0,470,504,551,,,,,,,505,3815,3818,4522,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,339,353,385,,,,,,,356,3580,3626,3659,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,750,758,892,,,,,,,758,7365,7407,7437,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,415,453,463,,,,,,,454,3521,3528,3537,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,351,352,365,,,,,,,355,6629,6657,6667,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,544,553,563,,,,,,,554,13243,13257,13267,,,,
mainnet,default,headless-kittypunch-swap-1,0,21447,,,,,21452,29638,29683,48139,,,,,,,48171,54319,,
