network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,680,703,738,,,,,,,704,7239,7248,7282,,,,
testnet,default,transfer-erc20-test,,,0,569,607,669,,,,,,,610,7145,7159,7219,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,431,441,502,,,,,442,5705,,,5727,5764,,,444,8847
testnet,default,transfer-cadence-test,,,0,441,474,536,,,,,475,7845,,,7869,10031,,,476,10963
mainnet,default,transfer-test,,,0,630,653,663,,,,,,,654,6933,6955,6963,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,299,349,401,,,,,350,8498,,,8530,8582,,,351,13770
testnet,ALCHEMY_URL,transfer-test,,,0,769,806,855,,,,,,,806,7317,7330,7364,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,691,700,738,,,,,,,703,7213,7231,7263,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,431,454,493,,,,,,,455,3696,3720,3756,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,481,502,512,,,,,,,503,6776,6795,6803,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,258,302,315,,,,,,,305,6585,6633,6643,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,471,503,514,,,,,,,504,6784,6793,6803,,,,
mainnet,default,headless-kittypunch-swap-1,0,21227,,,,,21246,29455,29493,48020,,,,,,,48040,54876,,
