network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,793,810,868,,,811,4292,4300,4357,,
testnet,default,transfer-erc20-test,1,566,608,668,,,611,4113,4159,4218,,
testnet,default,transfer-cadence-soft-finality-test,1,597,608,696,609,3961,,,3991,4078,611,7234
testnet,default,transfer-cadence-test,0,487,494,563,494,3821,,,3863,6875,496,7100
mainnet,default,transfer-test,0,1159,1160,1219,,,1161,4668,4699,4756,,
mainnet,default,transfer-cadence-soft-finality-test,0,771,820,940,820,6909,,,6930,7033,822,11466
testnet,ALCHEMY_URL,transfer-test,0,1236,1280,1429,,,1280,5362,5363,5502,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1121,1125,1265,,,1128,5072,5111,5239,,
mainnet,ALCHEMY_URL,transfer-test,0,1096,1112,1250,,,1113,8360,8395,8510,,
testnet,QUICKNODE_URL,transfer-test,0,582,607,660,,,608,4074,4086,4138,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,581,608,669,,,611,4114,4156,4214,,
mainnet,QUICKNODE_URL,transfer-test,0,670,707,765,,,708,4213,4258,4316,,
