network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,1,970,969,1055,,,,,,,,,970,7791,7808,7854,,,,
testnet,default,transfer-erc20-test,,,0,826,867,955,,,,,,,,,869,7693,7708,7753,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,577,620,706,,,,,,,621,7222,,,7251,7338,,,622,10377
testnet,default,transfer-cadence-test,,,0,391,440,527,,,,,,,441,4872,,,4879,8882,,,443,9146
mainnet,default,transfer-test,,,0,1397,1427,1498,,,,,,,,,1428,8129,8161,8232,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,839,851,981,,,,,,,852,6427,,,6466,6647,,,852,12172
testnet,ALCHEMY_URL,transfer-test,,,0,918,918,1053,,,,,,,,,919,8139,8167,8268,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,912,918,1035,,,,,,,,,921,8101,8117,8239,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,3721,3727,3845,,,,,,,,,3727,10881,10919,11036,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,843,867,926,,,,,,,,,868,7647,7656,7713,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,623,663,729,,,,,,,,,666,7476,7504,7567,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,783,816,889,,,,,,,,,816,7524,7551,7622,,,,
mainnet,default,headless-kittypunch-swap-1,0,21645,,,,,21669,30180,,,30189,48646,,,,,,,48672,55510,,
mainnet,default,headless-kittypunch-swap-2,0,2029,,,,,,,2055,9107,9145,27790,,,,,,,27835,34709,,
