network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,578,612,638,,,613,7064,7090,7116,,
testnet,default,transfer-erc20-test,0,501,510,539,,,513,6965,6997,7024,,
testnet,default,transfer-cadence-soft-finality-test,0,554,595,652,595,5792,,,5799,5862,597,8986
testnet,default,transfer-cadence-test,0,427,444,487,444,5641,,,5647,8736,446,8825
mainnet,default,transfer-test,0,670,714,834,,,714,7520,7554,7584,,
testnet,ALCHEMY_URL,transfer-test,0,573,611,665,,,612,7281,7298,7333,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,533,561,624,,,564,7189,7200,7238,,
mainnet,ALCHEMY_URL,transfer-test,0,655,662,702,,,663,7240,7272,7306,,
testnet,QUICKNODE_URL,transfer-test,0,493,510,536,,,510,6959,6991,7016,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,403,408,437,,,410,6860,6894,6921,,
mainnet,QUICKNODE_URL,transfer-test,0,539,561,682,,,562,7372,7402,7432,,
