network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,367,406,438,,,,,,,,,407,6921,6947,6978,,,,
testnet,default,transfer-erc20-test,,,0,393,403,441,,,,,,,,,406,6890,6929,6963,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,578,604,637,,,,,,,605,5848,,,5883,5943,,,606,8956
testnet,default,transfer-cadence-test,,,0,288,301,334,,,,,,,301,4487,,,4527,8281,,,303,8654
mainnet,default,transfer-test,,,0,461,504,510,,,,,,,,,505,6748,6759,6764,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,539,547,595,,,,,,,548,8543,,,8583,8632,,,549,9549
testnet,ALCHEMY_URL,transfer-test,,,0,491,504,545,,,,,,,,,505,7118,7136,7180,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,412,454,494,,,,,,,,,457,7118,7131,7179,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,756,801,854,,,,,,,,,801,7377,7380,7411,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,64,102,107,,,,,,,,,102,6340,6358,6363,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,61,104,113,,,,,,,,,107,3138,3186,3193,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,462,502,510,,,,,,,,,503,6747,6762,6767,,,,
mainnet,default,headless-kittypunch-swap-1,0,20654,,,,,20701,21629,,,21657,40023,,,,,,,40061,47450,,
mainnet,default,headless-kittypunch-swap-2,0,2557,,,,,,,2588,5216,5259,23917,,,,,,,23957,36960,,
mainnet,default,headless-kittypunch-swap-3,0,17862,,,,,17896,18828,,,18850,34550,,,,,,,34562,41896,,
mainnet,default,headless-kittypunch-swap-4,0,1589,,,,,,,1614,3732,3776,19623,,,,,,,19647,26992,,
