network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed)
mainnet,default,headless-kittypunch-swap-1,0,25020,25061,33545,,,33554,56658,56673,58998
mainnet,default,headless-kittypunch-swap-2,0,2921,,,2944,9343,9382,32340,32348,34167
mainnet,default,headless-kittypunch-swap-3,0,17817,17856,25898,,,25905,41619,41620,48956
mainnet,default,headless-kittypunch-swap-4,0,1622,,,1662,7368,7396,23054,23068,30409
