network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,228,255,263,,,255,3325,3369,3377,,
testnet,default,transfer-erc20-test,0,309,357,370,,,360,3425,3426,3436,,
testnet,default,transfer-cadence-soft-finality-test,0,261,264,304,265,3371,,,3377,3419,266,7548
testnet,default,transfer-cadence-test,0,266,270,290,270,3456,,,3488,6359,272,6588
mainnet,default,transfer-test,0,526,561,570,,,562,3894,3929,3938,,
mainnet,default,transfer-cadence-soft-finality-test,0,527,528,578,528,6853,,,6855,6905,530,12078
testnet,ALCHEMY_URL,transfer-test,1,375,408,438,,,409,3644,3678,3705,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,228,255,282,,,258,3485,3527,3546,,
mainnet,ALCHEMY_URL,transfer-test,0,399,409,685,,,409,13221,13271,13289,,
testnet,QUICKNODE_URL,transfer-test,0,260,307,316,,,307,3376,3422,3431,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,179,204,216,,,207,3274,3320,3330,,
mainnet,QUICKNODE_URL,transfer-test,0,738,765,775,,,766,7049,7096,7105,,
