network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1024,1052,1159,,,,,,,,,1053,7886,7933,8040,,,,
testnet,default,transfer-erc20-test,,,0,1023,1059,1171,,,,,,,,,1062,7873,7889,7952,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,602,638,747,,,,,,,639,5044,,,5070,5135,,,641,9308
testnet,default,transfer-cadence-test,,,0,412,451,589,,,,,,,452,6880,,,6888,10087,,,454,10126
mainnet,default,transfer-test,,,0,841,856,928,,,,,,,,,857,7565,7615,7688,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,766,769,942,,,,,,,770,7255,,,7257,13453,,,771,10691
testnet,ALCHEMY_URL,transfer-test,,,0,1156,1155,1275,,,,,,,,,1156,8140,8142,8233,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,997,1008,1106,,,,,,,,,1011,7991,8002,8088,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,875,903,1014,,,,,,,,,903,7904,7936,8186,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,766,809,877,,,,,,,,,810,7679,7698,7764,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,916,958,1034,,,,,,,,,960,7878,7925,7999,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,652,653,726,,,,,,,,,654,7353,7363,7435,,,,
mainnet,default,headless-kittypunch-swap-1,0,21185,,,,,21196,29596,,,29638,48011,,,,,,,48029,54865,,
mainnet,default,headless-kittypunch-swap-2,0,2220,,,,,,,2232,8740,8771,27368,,,,,,,27418,34894,,
