providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),GetBalance_Await_hash(waiting),GetBalance_Await_hash(completed),GetBalance_Await_receipt->Change(waiting),GetBalance_Await_receipt->Change(completed),WaitForTransactionExecuted(waiting),WaitForTransactionExecuted(completed),WaitForTransactionReceiptAction(waiting),WaitForTransactionReceiptAction(completed),WaitForTransactionSealed(waiting),WaitForTransactionSealed(completed)
default,transfer-test,0,1002,1000,1106,4550,4690,,,1000,4627,,
default,transfer-erc20-test,0,961,950,1017,7650,7869,,,950,7769,,
default,transfer-cadence-soft-finality-test,0,575,500,677,6100,6347,500,6261,,,500,8754
default,transfer-cadence-test,0,501,450,649,6050,9114,450,6234,,,450,9502
ALCHEMY_URL,transfer-test,0,2313,2300,2514,16750,17224,,,2300,17062,,
ALCHEMY_URL,transfer-erc20-test,0,1516,1500,1705,15800,16272,,,1500,16085,,
