network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1191,1209,1316,,,,,,,,,1210,8201,8241,8303,,,,
testnet,default,transfer-erc20-test,,,0,934,954,1020,,,,,,,,,957,7711,7737,7800,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,595,628,741,,,,,,,629,6193,,,6201,6266,,,630,9436
testnet,default,transfer-cadence-test,,,0,473,509,573,,,,,,,510,6994,,,7030,9006,,,512,9127
mainnet,default,transfer-test,,,0,1287,1308,1380,,,,,,,,,1309,8018,8050,8122,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,523,541,660,,,,,,,541,7724,,,7737,7868,,,543,12251
testnet,ALCHEMY_URL,transfer-test,,,0,909,957,1070,,,,,,,,,958,8093,8112,8247,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,1,652,654,785,,,,,,,,,657,7715,7754,7854,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1030,1059,1167,,,,,,,,,1060,8104,8111,8205,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,884,905,976,,,,,,,,,906,7807,7811,7882,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,858,907,982,,,,,,,,,910,7778,7799,7872,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,817,859,932,,,,,,,,,860,7568,7611,7683,,,,
mainnet,default,headless-kittypunch-swap-1,0,21058,,,,,21095,29741,,,29777,48148,,,,,,,48166,55030,,
mainnet,default,headless-kittypunch-swap-2,0,1873,,,,,,,1890,8717,8720,27402,,,,,,,27438,34364,,
