network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,950,955,1040,,,,,,,956,7749,7787,7832,,,,
testnet,default,transfer-erc20-test,,,0,727,754,804,,,,,,,757,7445,7491,7542,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,446,455,548,,,,,455,7075,,,7091,7144,,,457,9219
testnet,default,transfer-cadence-test,,,0,473,472,520,,,,,473,7967,,,8009,9848,,,475,10067
mainnet,default,transfer-test,,,0,786,803,875,,,,,,,804,7503,7506,7577,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,752,772,900,,,,,773,7209,,,7209,7324,,,774,9468
testnet,ALCHEMY_URL,transfer-test,,,0,1243,1258,1390,,,,,,,1259,8512,8555,8676,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1240,1256,1389,,,,,,,1260,8504,8552,8666,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1018,1057,1180,,,,,,,1058,8288,8299,8408,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,855,861,921,,,,,,,861,7655,7693,7754,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,735,752,816,,,,,,,755,7542,7552,7614,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,726,756,827,,,,,,,756,7451,7480,7550,,,,
mainnet,default,headless-kittypunch-swap-1,0,21621,,,,,21666,30351,30358,48681,,,,,,,48698,55289,,
