network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,777,816,869,,,,,,,,,816,7403,7451,7486,,,,
testnet,default,transfer-erc20-test,,,0,539,553,594,,,,,,,,,556,7075,7076,7113,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,526,571,625,,,,,,,571,7987,,,8023,8076,,,572,10091
testnet,default,transfer-cadence-test,,,0,341,350,421,,,,,,,350,5642,,,5660,8401,,,352,8768
mainnet,default,transfer-test,,,0,766,765,810,,,,,,,,,765,7367,7402,7441,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,619,663,748,,,,,,,663,7245,,,7286,7403,,,665,10510
testnet,ALCHEMY_URL,transfer-test,,,0,982,1020,1096,,,,,,,,,1020,7883,7911,7979,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,909,919,997,,,,,,,,,921,7738,7760,7827,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,983,1020,1094,,,,,,,,,1020,5218,5259,5335,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,709,713,740,,,,,,,,,714,7176,7193,7218,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,602,612,644,,,,,,,,,614,7093,7098,7128,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,629,663,710,,,,,,,,,664,7264,7290,7329,,,,
mainnet,default,headless-kittypunch-swap-1,0,21244,,,,,21261,29538,,,29580,48060,,,,,,,48108,55029,,
mainnet,default,headless-kittypunch-swap-2,0,2072,,,,,,,2082,8287,8289,26750,,,,,,,26770,33852,,
