network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,411,459,479,,,,,,,,,460,3602,3627,3645,,,,
testnet,default,transfer-erc20-test,,,0,572,612,634,,,,,,,,,615,3758,3778,3797,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,382,408,429,,,,,,,408,4513,,,4544,4565,,,410,6584
testnet,default,transfer-cadence-test,,,0,232,251,270,,,,,,,251,3332,,,3368,6494,,,253,7436
mainnet,default,transfer-test,,,0,678,716,740,,,,,,,,,717,13590,13621,13645,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,578,587,668,,,,,,,587,5972,,,5999,6077,,,589,11354
testnet,ALCHEMY_URL,transfer-test,,,0,540,562,634,,,,,,,,,562,4048,4085,4162,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,436,459,521,,,,,,,,,462,3906,3940,4027,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,747,764,813,,,,,,,,,765,7565,7607,7703,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,455,460,480,,,,,,,,,461,3627,3628,3718,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,387,408,431,,,,,,,,,411,3573,3574,3594,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,446,459,483,,,,,,,,,460,6891,6939,6962,,,,
mainnet,default,headless-kittypunch-swap-3,0,18026,,,,,18058,26395,,,26425,42159,,,,,,,42196,46544,,
mainnet,default,headless-kittypunch-swap-4,0,1556,,,,,,,1587,7250,7253,22953,,,,,,,22978,30359,,
