network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,500,507,525,,,,,,,,,507,6870,6898,6919,,,,
testnet,default,transfer-erc20-test,,,0,467,505,527,,,,,,,,,508,6870,6904,6924,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,394,420,439,,,,,,,421,7584,,,7605,7627,,,422,8605
testnet,default,transfer-cadence-test,,,0,323,345,368,,,,,,,346,4463,,,4472,7742,,,348,7573
mainnet,default,transfer-test,,,1,462,506,534,,,,,,,,,507,6959,6971,6997,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,595,623,689,,,,,,,623,10034,,,10080,10145,,,625,12172
testnet,ALCHEMY_URL,transfer-test,,,0,556,603,675,,,,,,,,,604,7377,7392,7461,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,509,551,623,,,,,,,,,553,7294,7340,7395,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,492,505,560,,,,,,,,,506,7235,7238,7308,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,389,407,427,,,,,,,,,408,6783,6828,6849,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,351,350,373,,,,,,,,,353,6726,6731,6751,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,432,452,476,,,,,,,,,453,3661,3675,3698,,,,
mainnet,default,headless-kittypunch-swap-1,0,21360,,,,,21402,29632,,,29641,48580,,,,,,,48584,55423,,
mainnet,default,headless-kittypunch-swap-2,0,2650,,,,,,,2673,9178,9205,27307,,,,,,,27311,33738,,
