network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,776,808,846,,,,,,,,,809,7309,7312,7346,,,,
testnet,default,transfer-erc20-test,,,0,930,960,1001,,,,,,,,,963,7470,7510,7545,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,511,549,605,,,,,,,549,5877,,,5879,5935,,,551,10056
testnet,default,transfer-cadence-test,,,0,523,554,628,,,,,,,555,6923,,,6948,9315,,,557,10062
mainnet,default,transfer-test,,,1,723,754,780,,,,,,,,,755,7202,7218,7242,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,608,617,687,,,,,,,618,8907,,,8915,8985,,,619,8907
testnet,ALCHEMY_URL,transfer-test,,,0,573,604,673,,,,,,,,,605,7229,7263,7308,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,558,602,649,,,,,,,,,605,7250,7263,7310,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,597,603,649,,,,,,,,,603,7234,7254,7302,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,473,504,524,,,,,,,,,505,6884,6909,6928,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,343,356,380,,,,,,,,,359,6734,6765,6786,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,748,754,779,,,,,,,,,755,7201,7251,7275,,,,
mainnet,default,headless-kittypunch-swap-1,0,20855,,,,,20891,29244,,,29272,47572,,,,,,,47604,54576,,
mainnet,default,headless-kittypunch-swap-2,0,1931,,,,,,,1938,8392,8398,26836,,,,,,,26854,33759,,
