network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,732,753,814,,,,,,,754,7244,7258,7294,,,,
testnet,default,transfer-erc20-test,,,0,580,604,644,,,,,,,607,7150,7156,7193,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,337,348,385,,,,,348,5630,,,5632,5692,,,350,8796
testnet,default,transfer-cadence-test,,,0,491,526,563,,,,,526,7808,,,7813,9796,,,528,10926
mainnet,default,transfer-test,,,0,1157,1203,1213,,,,,,,1204,7485,7510,7521,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,581,597,649,,,,,597,4581,,,4625,4676,,,599,9801
testnet,ALCHEMY_URL,transfer-test,,,0,757,803,849,,,,,,,804,7347,7353,7388,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,501,502,554,,,,,,,505,7004,7044,7081,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1294,1303,1590,,,,,,,1304,8374,8375,8491,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,416,453,462,,,,,,,454,6726,6733,6742,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,269,301,314,,,,,,,304,6579,6628,6639,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,637,652,662,,,,,,,653,3732,3765,3892,,,,
mainnet,default,headless-kittypunch-swap-1,0,21128,,,,,21139,29586,29631,48264,,,,,,,48283,55110,,
