providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),GetBalance_Await_hash(waiting),GetBalance_Await_hash(completed),GetBalance_Await_receipt->Change(waiting),GetBalance_Await_receipt->Change(completed),WaitForTransactionExecuted(waiting),WaitForTransactionExecuted(completed),WaitForTransactionReceiptAction(waiting),WaitForTransactionReceiptAction(completed),WaitForTransactionSealed(waiting),WaitForTransactionSealed(completed)
default,transfer-test,0,741,750,799,7200,7311,,,750,7254,,
default,transfer-erc20-test,0,625,650,702,7150,7357,,,650,7270,,
default,transfer-cadence-soft-finality-test,0,561,500,726,5900,6204,500,6093,,,500,9348
default,transfer-cadence-test,0,419,350,495,4650,7932,350,4825,,,350,8137
ALCHEMY_URL,transfer-test,0,1408,1400,1669,15200,15601,,,1400,15495,,
ALCHEMY_URL,transfer-erc20-test,0,833,850,988,14300,14722,,,850,14576,,
