network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,767,765,822,,,766,7521,7540,7596,,
testnet,default,transfer-erc20-test,0,603,610,671,,,612,7382,7385,7442,,
testnet,default,transfer-cadence-soft-finality-test,0,629,637,729,638,6152,,,6181,6271,639,9427
testnet,default,transfer-cadence-test,0,487,498,566,499,6054,,,6084,9664,500,10433
mainnet,default,transfer-test,0,1179,1215,1278,,,1216,8022,8033,8095,,
mainnet,default,transfer-cadence-soft-finality-test,0,588,610,1460,611,5764,,,5799,5903,612,11339
testnet,ALCHEMY_URL,transfer-test,0,1649,1672,1925,,,1673,9527,9564,9808,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1589,1619,1848,,,1622,9147,9173,9276,,
mainnet,ALCHEMY_URL,transfer-test,0,1108,1122,1228,,,1123,8413,8446,8553,,
testnet,QUICKNODE_URL,transfer-test,0,590,609,662,,,610,7349,7353,7405,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,595,609,675,,,613,7406,7429,7491,,
mainnet,QUICKNODE_URL,transfer-test,0,978,1016,1078,,,1017,7824,7854,7917,,
