network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,632,664,712,,,665,4080,4087,4134,,
testnet,default,transfer-erc20-test,0,454,458,509,,,461,3874,3879,3928,,
testnet,default,transfer-cadence-soft-finality-test,0,654,666,750,667,3953,,,3983,4069,668,7220
testnet,default,transfer-cadence-test,0,468,484,553,485,3808,,,3808,6855,487,7074
mainnet,default,transfer-test,0,1146,1173,1230,,,1174,4824,4851,4906,,
mainnet,default,transfer-cadence-soft-finality-test,0,679,682,780,683,3855,,,3896,3991,684,9346
testnet,ALCHEMY_URL,transfer-test,0,1061,1062,1304,,,1063,5051,5089,5205,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1063,1070,1338,,,1073,5346,5359,5615,,
mainnet,ALCHEMY_URL,transfer-test,0,723,764,854,,,765,7588,7600,7657,,
testnet,QUICKNODE_URL,transfer-test,0,499,509,563,,,510,3978,3983,4036,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,504,512,570,,,515,3984,3984,4039,,
mainnet,QUICKNODE_URL,transfer-test,0,903,918,1057,,,919,7742,7754,7809,,
