network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1081,1109,2225,,,1109,8013,8053,8118,,
testnet,default,transfer-erc20-test,0,524,553,666,,,556,7357,7395,7457,,
testnet,default,transfer-cadence-soft-finality-test,0,586,617,729,618,6130,,,6138,6202,620,9391
testnet,default,transfer-cadence-test,0,449,484,594,485,6104,,,6112,9530,486,9301
mainnet,default,transfer-test,0,1133,1160,1232,,,1161,7868,7897,7968,,
mainnet,default,transfer-cadence-soft-finality-test,0,611,642,760,643,6242,,,6267,6459,644,11023
testnet,ALCHEMY_URL,transfer-test,0,949,955,1074,,,955,8034,8051,8156,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,820,857,955,,,860,7973,7997,8088,,
mainnet,ALCHEMY_URL,transfer-test,0,1008,1054,1161,,,1054,8069,8093,8191,,
testnet,QUICKNODE_URL,transfer-test,0,808,855,924,,,855,7741,7791,7862,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,735,759,836,,,762,7641,7650,7725,,
mainnet,QUICKNODE_URL,transfer-test,0,684,706,779,,,706,7410,7454,7525,,
