network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,927,951,986,,,,,,,954,7444,7470,7504,,,,
testnet,default,transfer-erc20-test,,,0,727,759,798,,,,,,,762,7266,7294,7328,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,513,556,612,,,,,556,6901,,,6932,6970,,,557,10060
testnet,default,transfer-cadence-test,,,0,392,413,485,,,,,414,5770,,,5797,8860,,,416,8913
mainnet,default,transfer-test,,,0,733,760,785,,,,,,,761,7190,7196,7223,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,1,599,608,702,,,,,609,8167,,,8197,8277,,,610,10272
testnet,ALCHEMY_URL,transfer-test,,,0,842,858,904,,,,,,,859,7497,7510,7564,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,736,754,812,,,,,,,757,7409,7422,7494,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,565,605,656,,,,,,,606,7238,7254,7318,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,542,551,572,,,,,,,551,6932,6961,6981,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,1,414,453,477,,,,,,,456,6833,6866,6887,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,540,552,576,,,,,,,553,6977,6989,7012,,,,
mainnet,default,headless-kittypunch-swap-1,0,20900,,,,,20911,29527,29550,48127,,,,,,,48165,55084,,
