network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,334,356,363,,,357,3392,3441,3445,,
testnet,default,transfer-erc20-test,0,196,200,211,,,203,3237,3283,3289,,
testnet,default,transfer-cadence-soft-finality-test,0,324,325,667,326,3505,,,3548,3587,327,7677
testnet,default,transfer-cadence-test,0,212,221,257,221,3385,,,3393,6658,223,7548
mainnet,default,transfer-test,0,470,505,511,,,505,6750,6775,6781,,
mainnet,default,transfer-cadence-soft-finality-test,0,334,362,408,363,5645,,,5690,5734,364,9851
testnet,ALCHEMY_URL,transfer-test,0,360,405,465,,,406,3821,3845,3885,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,737,760,801,,,763,4109,4151,4203,,
mainnet,ALCHEMY_URL,transfer-test,0,528,555,630,,,556,13704,13744,13781,,
testnet,QUICKNODE_URL,transfer-test,0,178,203,208,,,204,3237,3243,3247,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,235,252,261,,,255,3288,3294,3300,,
mainnet,QUICKNODE_URL,transfer-test,0,367,405,410,,,405,6646,6676,6682,,
