network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed)
mainnet,default,headless-kittypunch-swap-1,0,21495,21502,30170,,,30183,48735,48770,55639
mainnet,default,headless-kittypunch-swap-2,0,1987,,,2010,8027,8051,26644,26663,33209
mainnet,default,headless-kittypunch-swap-3,0,18699,18731,27269,,,27300,44310,44341,52187
