network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,857,903,938,,,,,,,,,903,7450,7487,7522,,,,
testnet,default,transfer-erc20-test,,,1,625,656,718,,,,,,,,,659,7166,7213,7248,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,497,535,573,,,,,,,535,6807,,,6821,6884,,,536,8887
testnet,default,transfer-cadence-test,,,0,520,533,588,,,,,,,534,4807,,,4807,7980,,,535,8988
mainnet,default,transfer-test,,,0,525,552,562,,,,,,,,,552,6831,6872,6881,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,265,313,387,,,,,,,314,8620,,,8652,8721,,,315,9673
testnet,ALCHEMY_URL,transfer-test,,,0,595,604,643,,,,,,,,,605,7133,7168,7200,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,457,504,539,,,,,,,,,506,6967,7012,7039,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,606,602,634,,,,,,,,,603,7245,7275,7309,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,353,351,360,,,,,,,,,352,6628,6636,6644,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,239,253,266,,,,,,,,,256,6529,6563,6573,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,575,604,614,,,,,,,,,605,6884,6912,6921,,,,
mainnet,default,headless-kittypunch-swap-1,0,21411,,,,,21434,29655,,,29673,47979,,,,,,,48010,54568,,
mainnet,default,headless-kittypunch-swap-2,0,1879,,,,,,,1882,8353,8367,26600,,,,,,,26613,33197,,
