network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,733,755,787,,,,,,,,,756,7261,7289,7343,,,,
testnet,default,transfer-erc20-test,,,0,609,654,688,,,,,,,,,657,7157,7205,7260,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,481,520,556,,,,,,,521,5848,,,5848,5883,,,522,8954
testnet,default,transfer-cadence-test,,,0,228,240,299,,,,,,,241,5503,,,5525,8497,,,243,8842
mainnet,default,transfer-test,,,0,686,704,710,,,,,,,,,705,6948,6961,6967,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,495,498,548,,,,,,,499,6992,,,7035,7085,,,500,12371
testnet,ALCHEMY_URL,transfer-test,,,0,418,453,492,,,,,,,,,454,6947,6963,7001,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,401,402,441,,,,,,,,,405,6867,6902,6945,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,342,352,383,,,,,,,,,353,6852,6901,7209,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,363,400,406,,,,,,,,,401,6641,6679,6684,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,287,301,311,,,,,,,,,304,6542,6581,6587,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,524,550,557,,,,,,,,,551,6791,6826,6831,,,,
mainnet,default,headless-kittypunch-swap-1,0,21041,,,,,21075,29537,,,29574,48431,,,,,,,48440,54821,,
mainnet,default,headless-kittypunch-swap-2,0,2141,,,,,,,2185,8609,8627,26848,,,,,,,26868,33409,,
