network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,600,612,658,,,612,7270,7313,7360,,
testnet,default,transfer-erc20-test,0,510,510,560,,,512,7195,7198,7246,,
testnet,default,transfer-cadence-soft-finality-test,0,497,511,599,512,5835,,,5867,5948,513,10178
testnet,default,transfer-cadence-test,0,446,454,523,454,5818,,,5864,8804,456,9082
mainnet,default,transfer-test,0,870,917,974,,,918,7800,7807,7854,,
testnet,ALCHEMY_URL,transfer-test,0,1642,1684,1940,,,1685,9860,9899,10173,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1481,1479,1733,,,1481,8818,8827,8947,,
mainnet,ALCHEMY_URL,transfer-test,0,985,1020,1128,,,1021,8652,8689,8806,,
testnet,QUICKNODE_URL,transfer-test,0,544,561,608,,,562,7245,7295,7341,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,514,560,617,,,562,7290,7299,7354,,
mainnet,QUICKNODE_URL,transfer-test,0,884,918,974,,,918,4479,4489,4636,,
