network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,893,904,957,,,,,,,905,7514,7558,7593,,,,
testnet,default,transfer-erc20-test,,,0,616,653,708,,,,,,,656,7210,7214,7266,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,506,548,603,,,,,548,6912,,,6932,6988,,,550,9027
testnet,default,transfer-cadence-test,,,0,358,399,452,,,,,400,6768,,,6780,9602,,,402,9889
mainnet,default,transfer-test,,,0,823,858,898,,,,,,,859,4200,4230,4269,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,622,664,752,,,,,664,7904,,,7946,8052,,,665,11152
testnet,ALCHEMY_URL,transfer-test,,,0,807,853,944,,,,,,,854,7722,7729,7794,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,767,805,882,,,,,,,808,7607,7637,7707,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,934,957,1030,,,,,,,958,8036,8086,8163,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,436,453,479,,,,,,,453,6913,6949,6975,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,383,403,436,,,,,,,406,6868,6911,6939,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,853,856,902,,,,,,,856,7492,7514,7558,,,,
mainnet,default,headless-kittypunch-swap-1,0,21288,,,,,21300,29971,29981,48516,,,,,,,48517,55917,,
