network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,983,1005,1067,,,,,,,1005,4505,4525,4587,,,,
testnet,default,transfer-erc20-test,,,0,916,954,1020,,,,,,,958,4500,4543,4609,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,504,539,604,,,,,540,4900,,,4919,4983,,,541,7032
testnet,default,transfer-cadence-test,,,0,498,535,617,,,,,536,3839,,,3860,6519,,,537,7082
mainnet,default,transfer-test,,,0,840,858,931,,,,,,,859,7564,7601,7672,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,678,692,824,,,,,693,7085,,,7125,7254,,,695,11594
testnet,ALCHEMY_URL,transfer-test,,,0,924,954,1059,,,,,,,955,4772,4781,4885,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,817,857,956,,,,,,,859,4624,4642,4752,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1319,1356,1461,,,,,,,1360,8658,8663,8755,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,917,958,1030,,,,,,,959,4580,4580,4651,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,817,859,937,,,,,,,862,4513,4542,4616,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,771,804,876,,,,,,,804,7510,7531,7603,,,,
mainnet,default,headless-kittypunch-swap-1,0,20954,,,,,20990,29752,29775,48235,,,,,,,48244,55083,,
