network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,739,765,801,,,,,,,,,766,7261,7295,7330,,,,
testnet,default,transfer-erc20-test,,,0,715,716,754,,,,,,,,,719,13650,13674,13709,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,484,520,557,,,,,,,521,4726,,,4755,4792,,,522,7855
testnet,default,transfer-cadence-test,,,0,338,363,424,,,,,,,364,6709,,,6744,8879,,,365,9877
mainnet,default,transfer-test,,,0,685,714,724,,,,,,,,,715,6998,7041,7051,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,600,649,701,,,,,,,650,7477,,,7489,7556,,,651,11625
testnet,ALCHEMY_URL,transfer-test,,,0,455,458,495,,,,,,,,,459,6947,6992,7021,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,405,408,446,,,,,,,,,411,6911,6944,6981,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,622,661,968,,,,,,,,,662,7466,7500,7529,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,358,357,366,,,,,,,,,358,6634,6636,6647,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,287,306,319,,,,,,,,,309,6587,6587,6597,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,579,611,621,,,,,,,,,612,6892,6938,6947,,,,
mainnet,default,headless-kittypunch-swap-1,0,21160,,,,,21159,29307,,,29322,47833,,,,,,,47864,54523,,
mainnet,default,headless-kittypunch-swap-2,0,2011,,,,,,,2055,8362,8390,26439,,,,,,,26454,32851,,
