network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,842,858,912,,,859,7596,7607,7663,,
testnet,default,transfer-erc20-test,0,684,710,772,,,713,7466,7485,7544,,
testnet,default,transfer-cadence-soft-finality-test,0,975,988,1076,989,6528,,,6574,6659,990,10880
testnet,default,transfer-cadence-test,0,501,510,579,510,5989,,,5998,9424,512,10351
mainnet,default,transfer-test,0,972,1012,1075,,,1011,7819,7832,7893,,
mainnet,default,transfer-cadence-soft-finality-test,0,524,570,673,571,5576,,,5603,5706,572,9974
testnet,ALCHEMY_URL,transfer-test,0,1181,1212,1460,,,1213,5475,5492,5602,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,838,857,978,,,860,8432,8470,8577,,
mainnet,ALCHEMY_URL,transfer-test,0,804,811,917,,,811,8242,8281,8390,,
testnet,QUICKNODE_URL,transfer-test,0,567,610,667,,,610,7383,7383,7439,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,516,560,622,,,563,7324,7330,7389,,
mainnet,QUICKNODE_URL,transfer-test,0,849,856,918,,,857,7663,7711,7772,,
