network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,898,908,993,,,,,,,909,7694,7703,7749,,,,
testnet,default,transfer-erc20-test,,,0,715,754,803,,,,,,,758,7384,7400,7447,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,569,577,664,,,,,577,5934,,,5964,6050,,,579,9167
testnet,default,transfer-cadence-test,,,0,389,408,495,,,,,409,5808,,,5838,9160,,,410,10006
mainnet,default,transfer-test,,,0,1059,1058,1128,,,,,,,1059,7758,7807,7878,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,5658,5673,5803,,,,,5674,11663,,,11703,11815,,,5676,17242
testnet,ALCHEMY_URL,transfer-test,,,0,905,907,1025,,,,,,,908,8075,8106,8221,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,876,905,1029,,,,,,,908,8167,8215,8359,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,944,960,1077,,,,,,,961,8180,8216,8331,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,763,804,861,,,,,,,805,7574,7618,7675,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,776,806,872,,,,,,,808,7602,7605,7668,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,778,807,879,,,,,,,808,7506,7518,7589,,,,
mainnet,default,headless-kittypunch-swap-1,0,21257,,,,,21265,29834,29853,48593,,,,,,,48602,55435,,
